date;DNI;T_bulb;T_ext;Wind;Azimuth;Pexp;Pgen;C1_tout;C2_tout;C3_tout;C4_tout;C1_tin;C2_tin;C3_tin;C4_tin;C1_massflow;C2_massflow;C3_massflow;C4_massflow
2017-07-17 00:00:00;0,010;22,799;39,891;4,687;135,567;-1,225;0,000;188,409;188,683;187,492;187,877;288,408;288,683;287,492;287,877;180;180;180;180
2017-07-17 01:00:00;0,005;21,926;42,954;3,302;53,047;-0,729;0,000;181,704;181,917;181,036;181,285;281,704;281,917;281,036;281,285;180;180;180;180
2017-07-17 02:00:00;0,045;20,581;46,718;2,153;53,057;-0,533;0,000;175,686;175,825;175,033;175,245;275,687;275,825;275,033;275,245;180;180;180;180
2017-07-17 03:00:00;0,019;19,054;52,187;3,187;53,068;-0,533;0,000;169,522;169,644;168,407;168,826;269,522;269,644;268,407;268,826;180;180;180;180
2017-07-17 04:00:00;0,099;18,035;55,294;3,012;56,313;-0,525;0,000;161,665;161,970;160,613;161,105;261,665;261,970;260,613;261,105;180;180;180;180
2017-07-17 05:00:00;48,057;17,751;55,910;3,000;65,707;-0,586;0,000;161,867;161,970;163,492;162,516;261,866;261,970;263,492;262,516;180;180;180;180
2017-07-17 06:00:00;167,255;20,469;49,493;1,140;74,585;-0,744;0,000;192,820;191,263;198,464;196,473;292,819;291,263;298,464;296,473;180;180;180;180
2017-07-17 07:00:00;429,645;24,781;37,945;0,245;83,286;2,759;3,896;303,174;296,605;310,375;307,579;403,174;396,605;410,375;407,579;180;180;180;180
2017-07-17 08:00:00;443,102;28,092;31,513;2,005;92,605;22,498;24,680;340,150;326,439;348,413;339,214;440,150;426,439;448,413;439,214;180;180;180;180
2017-07-17 09:00:00;261,031;30,469;28,102;2,834;103,888;17,573;19,334;317,566;314,103;325,422;323,419;417,566;414,103;425,422;423,419;180;180;180;180
2017-07-17 10:00:00;599,533;32,506;21,069;2,792;119,804;27,262;29,449;358,812;352,658;365,433;366,539;458,812;452,658;465,433;466,539;180;180;180;180
2017-07-17 11:00:00;432,660;34,106;16,899;2,714;146,527;44,123;47,406;373,332;374,054;371,178;376,639;473,332;474,054;471,178;476,639;180;180;180;180
2017-07-17 12:00:00;336,354;34,980;17,301;2,882;187,354;25,516;27,415;341,228;338,962;342,571;339,576;441,228;438,962;442,571;439,576;180;180;180;180
2017-07-17 13:00:00;259,864;35,669;17,788;2,835;224,031;21,369;23,305;329,397;325,373;326,437;325,140;429,397;425,373;426,437;425,140;180;180;180;180
2017-07-17 14:00:00;374,247;36,160;17,068;3,621;246,074;20,872;22,723;343,194;341,988;345,899;345,877;443,194;441,988;445,899;445,877;180;180;180;180
2017-07-17 15:00:00;250,098;36,606;15,087;1,658;259,887;20,296;22,018;331,970;320,876;332,966;328,188;431,970;420,876;432,966;428,188;180;180;180;180
2017-07-17 16:00:00;427,721;37,029;14,118;4,787;270,240;25,774;27,904;345,730;340,528;349,674;347,812;445,731;440,528;449,674;447,812;180;180;180;180
2017-07-17 17:00:00;137,396;36,322;14,147;2,882;279,230;24,688;26,812;312,648;313,225;315,793;318,622;412,648;413,225;415,793;418,622;180;180;180;180
2017-07-17 18:00:00;0,102;34,544;14,321;5,925;287,912;5,065;6,355;251,208;251,432;249,043;249,927;351,208;351,432;349,042;349,927;180;180;180;180
2017-07-17 19:00:00;0,711;27,776;34,593;5,762;296,984;-0,561;0,000;223,247;223,767;218,672;220,703;323,247;323,767;318,672;320,703;180;180;180;180
2017-07-17 20:00:00;0,085;26,930;38,027;5,087;305,328;-0,553;0,000;209,779;209,984;210,387;210,295;309,779;309,984;310,387;310,295;180;180;180;180
2017-07-17 21:00:00;0,023;26,624;36,430;7,100;306,573;-0,555;0,000;201,548;201,666;199,997;200,616;301,549;301,666;299,997;300,616;180;180;180;180
2017-07-17 22:00:00;0,005;25,672;36,620;6,612;306,724;-0,554;0,000;193,254;193,227;192,201;192,723;293,254;293,227;292,201;292,723;180;180;180;180
2017-07-17 23:00:00;0,000;25,463;35,960;5,837;306,714;-0,553;0,000;185,280;185,271;184,420;184,717;285,280;285,271;284,420;284,717;180;180;180;180
