;1100-AXT-1871R.UNIT1@ASTE1A;1100-AXT-1872R.UNIT1@ASTE1A;1100-AXT-1873R.UNIT1@ASTE1A;1100-AXT-1874R.UNIT1@ASTE1A;1100-AXT-1876R.UNIT1@ASTE1A;1100-AXT-1877R.UNIT1@ASTE1A;1100-AXT-1879R.UNIT1@ASTE1A;1100-AXT-1880R.UNIT1@ASTE1A;1100-AXT-1883R.UNIT1@ASTE1A;1110-FT-1800.UNIT1@ASTE1A;1110-FT-1801.UNIT1@ASTE1A;1110-FT-1809.UNIT1@ASTE1A;1110-FT-1810.UNIT1@ASTE1A;1110-FX-1800.UNIT1@ASTE1A;1110-FX-1801.UNIT1@ASTE1A;1110-FX-1809.UNIT1@ASTE1A;1110-FX-1810.UNIT1@ASTE1A;1110-PT-1800.UNIT1@ASTE1A;1110-PT-1801.UNIT1@ASTE1A;1110-PT-1802.UNIT1@ASTE1A;1110-PT-1803.UNIT1@ASTE1A;1110-PT-1807.UNIT1@ASTE1A;1110-PT-1808.UNIT1@ASTE1A;1110-PT-1809.UNIT1@ASTE1A;1110-PT-1810.UNIT1@ASTE1A;1110-TT-1800.UNIT1@ASTE1A;1110-TT-1801.UNIT1@ASTE1A;1110-TT-1802.UNIT1@ASTE1A;1110-TT-1803.UNIT1@ASTE1A;1110-TT-1807.UNIT1@ASTE1A;1110-TT-1808.UNIT1@ASTE1A;1110-TT-1809.UNIT1@ASTE1A;1110-TT-1810.UNIT1@ASTE1A;1120-FT-1806.UNIT1@ASTE1A;1120-FX-1806.UNIT1@ASTE1A;3110-FT-3900.UNIT1@ASTE1A;3110-FX-3900.UNIT1@ASTE1A
17/06/2019 0:00;2,02;196,27;18,74;29,88;0,00;0,12;0,00;310,30;939,68;179,62;173,04;177,62;174,52;44,94;43,35;44,44;43,68;12,06;11,99;11,71;11,66;11,71;11,69;12,08;12,01;206,59;206,59;197,24;198,30;197,95;198,68;207,15;207,46;742,81;187,38;701,87;176,38
17/06/2019 1:00;2,05;194,94;17,20;33,26;0,00;0,13;0,00;310,30;939,68;180,63;173,97;172,02;176,30;45,58;43,93;43,38;44,48;11,96;11,88;11,61;11,51;11,55;11,55;11,98;11,92;198,05;198,04;189,73;190,97;190,69;191,13;198,58;198,64;738,48;187,60;698,60;177,00
17/06/2019 2:00;2,17;187,37;15,68;36,69;0,00;0,13;0,00;49,70;939,98;181,40;174,35;172,57;177,15;46,14;44,33;43,89;45,06;11,81;11,72;11,50;11,41;11,44;11,40;11,88;11,76;190,52;190,47;182,48;183,63;183,70;184,14;191,02;191,10;737,96;189,07;701,64;179,14
17/06/2019 3:00;2,27;186,57;14,67;38,87;0,00;0,23;0,00;49,70;939,67;181,76;174,06;172,81;177,43;46,54;44,62;44,26;45,45;11,85;11,81;11,48;11,41;11,44;11,41;11,87;11,75;183,54;183,46;175,73;176,62;176,94;177,39;183,72;184,03;734,14;188,72;701,10;180,14
17/06/2019 4:00;2,30;188,48;14,94;40,64;0,00;0,23;0,00;49,69;939,81;198,23;189,99;188,54;193,60;51,31;49,13;48,95;49,85;12,00;12,03;11,67;11,60;11,61;11,57;12,13;12,02;176,76;176,71;169,78;170,38;170,73;170,95;176,99;177,01;800,02;206,68;764,28;198,31
17/06/2019 5:00;2,63;189,90;14,27;41,15;0,00;0,23;0,00;49,94;939,66;200,15;191,27;190,45;195,35;51,95;49,70;49,39;50,67;11,96;11,88;11,51;11,46;11,50;11,47;12,00;11,88;170,26;170,23;164,05;164,62;164,79;165,01;170,74;170,52;809,30;210,74;769,05;200,01
17/06/2019 6:00;2,87;192,09;14,12;41,16;3,80;45,07;0,43;55,55;939,67;235,05;223,73;231,15;226,97;63,58;60,13;62,28;60,47;11,36;11,31;10,58;10,52;10,54;10,51;11,40;11,27;163,86;163,79;158,42;158,89;159,10;159,26;164,24;164,14;908,14;240,71;877,23;240,60
17/06/2019 7:00;2,63;193,90;15,12;40,89;22,00;325,24;6,94;64,95;939,97;335,42;322,23;319,86;326,16;88,27;84,64;84,04;85,76;11,91;11,83;10,79;10,72;10,74;10,70;11,92;11,82;164,18;163,27;201,35;190,07;192,66;189,53;163,40;162,89;1385,75;359,14;1282,44;337,00
17/06/2019 8:00;2,49;196,80;17,89;36,42;44,13;619,09;17,47;73,64;940,31;504,02;490,99;481,92;488,67;122,93;119,76;116,26;119,15;15,92;15,69;14,04;13,90;14,02;13,88;15,84;15,68;217,69;216,50;314,01;294,45;295,65;292,36;216,56;216,60;2313,75;517,75;1958,35;473,95
17/06/2019 9:00;4,59;224,66;20,96;30,85;58,93;763,86;28,73;82,29;940,46;669,22;654,06;638,02;644,46;153,85;150,44;146,79;148,34;21,93;21,72;18,58;18,63;18,59;18,66;21,91;21,78;276,87;276,62;390,70;382,37;382,94;379,83;276,75;277,26;3164,26;616,96;2598,37;594,23
17/06/2019 10:00;3,01;241,33;22,98;27,54;68,20;828,43;40,45;91,49;940,33;666,06;652,75;634,49;642,12;150,08;147,24;143,06;144,73;21,96;21,84;18,75;18,77;18,67;18,77;22,05;21,90;295,20;294,75;392,44;393,54;393,20;393,25;295,48;295,45;3082,26;592,22;2590,25;584,22
17/06/2019 11:00;2,70;244,15;25,04;24,03;72,25;868,91;51,86;102,77;940,03;657,70;645,07;626,64;634,06;148,36;145,54;141,38;143,06;21,79;21,67;18,64;18,58;18,60;18,54;21,82;21,63;294,43;294,10;393,18;393,85;393,19;393,48;294,67;294,68;3043,74;584,29;2556,88;577,11
17/06/2019 12:00;2,55;219,94;26,81;20,88;76,93;892,42;62,51;119,49;939,58;655,19;642,48;624,09;632,02;147,84;145,05;140,83;142,59;21,78;21,64;18,60;18,60;18,60;18,58;21,78;21,59;294,44;294,14;393,19;394,27;393,38;393,81;294,51;294,40;3026,83;581,04;2548,14;574,76
17/06/2019 13:00;2,76;212,35;27,68;20,26;83,67;899,25;70,84;148,59;939,44;653,61;640,35;622,52;630,17;147,56;144,60;140,46;142,31;21,68;21,56;18,54;18,49;18,50;18,55;21,68;21,49;294,19;293,73;393,14;393,94;393,59;393,48;294,24;293,97;3018,19;579,12;2539,23;572,87
17/06/2019 14:00;3,54;225,10;28,97;18,46;86,22;901,24;72,60;191,16;938,52;653,06;639,45;621,59;629,36;147,50;144,43;140,35;142,15;21,85;21,75;18,69;18,66;18,70;18,67;21,88;21,69;293,81;293,79;392,95;394,04;393,58;393,38;294,34;294,03;3049,25;585,18;2536,68;572,49
17/06/2019 15:00;3,64;202,59;30,11;16,01;84,88;897,19;67,01;229,07;937,59;649,76;636,43;619,16;626,36;146,59;143,64;139,68;141,33;21,69;21,53;18,55;18,48;18,55;18,56;21,66;21,47;294,58;294,30;393,37;394,27;393,91;393,91;294,68;294,51;3012,61;577,98;2525,03;569,77
17/06/2019 16:00;3,92;216,43;30,80;15,02;82,90;876,81;57,16;250,52;936,69;653,04;638,90;621,44;628,88;147,37;144,18;140,18;142,16;21,71;21,55;18,46;18,47;18,43;18,43;21,71;21,52;293,84;293,60;393,23;393,57;392,86;392,50;294,06;293,84;3036,04;582,79;2535,20;571,42
17/06/2019 17:00;3,71;200,86;31,51;14,08;82,57;831,71;45,91;263,58;936,07;653,47;639,33;621,89;629,52;147,42;144,28;140,37;142,09;21,96;21,80;18,75;18,74;18,77;18,75;21,95;21,75;294,10;293,86;392,86;393,84;393,63;393,28;294,30;294,17;3044,07;584,11;2536,98;572,28
17/06/2019 18:00;3,06;193,80;31,37;14,61;88,55;663,08;34,32;273,53;935,62;658,08;644,70;640,27;646,28;148,50;145,57;144,67;145,97;22,78;22,58;19,93;19,73;18,65;18,70;22,58;22,42;294,32;294,08;389,97;386,22;386,36;382,75;294,43;294,29;3075,51;593,29;2578,21;581,79
17/06/2019 19:00;3,72;211,77;31,53;12,01;64,24;661,51;22,84;282,44;935,62;675,35;660,53;643,12;650,20;152,41;149,51;145,28;146,84;22,41;22,27;19,06;19,02;18,98;19,01;22,38;22,21;294,43;294,22;388,65;380,32;383,57;382,19;294,85;294,71;3132,28;607,64;2620,72;591,67
17/06/2019 20:00;3,07;215,17;29,50;12,83;40,53;321,89;11,64;291,07;790,68;601,53;590,97;576,28;581,45;135,62;133,12;130,26;131,48;18,63;18,51;16,11;16,18;16,32;16,28;18,58;18,47;283,92;283,97;335,32;336,55;334,16;335,14;284,54;284,63;2615,99;536,40;2340,81;532,50
17/06/2019 21:00;2,46;221,37;26,71;17,90;12,23;9,61;2,74;299,92;936,03;300,66;292,79;286,62;291,74;72,09;68,97;67,68;68,55;14,32;14,26;13,52;13,47;13,52;13,49;14,40;14,27;253,28;253,62;258,31;262,29;260,09;262,88;254,10;254,32;1222,80;284,87;1156,48;278,63
17/06/2019 22:00;2,51;227,29;24,45;17,07;0,00;0,06;0,00;307,52;936,66;218,09;212,33;207,12;211,25;53,00;51,97;50,35;52,06;13,06;13,00;12,64;12,56;12,62;12,59;13,11;13,00;221,11;220,98;222,35;228,35;225,64;229,68;221,48;221,37;894,23;217,68;841,40;209,02
17/06/2019 23:00;2,53;215,77;22,70;18,37;0,00;0,10;0,00;310,34;936,95;197,06;191,36;187,39;191,43;48,51;47,15;46,07;47,07;13,02;12,96;12,67;12,59;12,63;12,60;13,07;12,95;220,09;219,81;205,85;208,08;207,51;208,74;220,18;220,16;798,85;199,42;764,32;190,05
