;Schott PTR70;Schott PTR70 2008;Solel UVAC 2;Solel UVAC 3;SkyTrough DSP;ASE (HEMS08);NREL#6
100;0,521086772324285;0,7284188211745981;0,5208280637663396;0,6380401052457849;0,8352472310403994;0,8157191033587309;0,8336185153632262
200;0,7572149164030161;0,8623926360220107;0,7571429528096816;0,8164375053534684;0,916451830705735;0,9064952796478787;0,9156223965087743
300;0,8366474583743696;0,9074284660394257;0,8366423357262427;0,876446334677299;0,943757164430967;0,937021438298415;0,9431943114809014
400;0,8764960237220152;0,9300200082169395;0,8765254869848763;0,9066764272885639;0,9574528761752422;0,9523328744586645;0,957023292096173
500;0,9004453758861202;0,9435972865336366;0,9004961599908264;0,9247714235586562;0,9656248536803076;0,9614683382281511;0,9652738979643716
600;0,9166002208058079;0,9525577650564179;0,9166644182783746;0,93684612637751;0,9711157798522039;0,9676068098511952;0,9708180438664838
700;0,9280248597552672;0,9590315837143811;0,9280996980990249;0,9454756195629213;0,975039615340286;0,9719932492242659;0,974779853849822
800;0,9365961890170078;0,963888277818992;0,9366792283949428;0,9518141469714166;0,9779830517408208;0,9752835752745356;0,9777517352774078
900;0,9432638584655617;0,967666078516644;0,9433534652805071;0,9568487629477049;0,9802724091765722;0,9778426168710284;0,9800631840818492
1000;0,9484158163833515;0,9706882144611901;0,9485122692084015;0,9608762728544661;0,9821036508707376;0,97988946458761;0,9819120691483079
