T	mu
288	0,004716937
290	0,004482265
292	0,004263447
294	0,004059176
296	0,003868272
298	0,003689664
300	0,003522383
302	0,003365547
304	0,003218358
306	0,003080084
308	0,002950062
310	0,002827685
312	0,002712399
314	0,002603696
316	0,002501111
318	0,002404218
320	0,002312626
322	0,002225975
324	0,002143934
326	0,002066198
328	0,001992486
330	0,001922538
332	0,001856114
334	0,001792993
336	0,00173297
338	0,001675853
340	0,001621468
342	0,00156965
344	0,001520246
346	0,001473116
348	0,001428129
350	0,00138516
352	0,001344097
354	0,001304832
356	0,001267267
358	0,001231307
360	0,001196867
362	0,001163865
364	0,001132225
366	0,001101875
368	0,001072749
370	0,001044784
372	0,001017922
374	0,000992106
376	0,000967285
378	0,00094341
380	0,000920435
382	0,000898317
384	0,000877014
386	0,000856488
388	0,000836704
390	0,000817626
392	0,000799222
394	0,000781462
396	0,000764317
398	0,000747759
400	0,000731763
402	0,000716303
404	0,000701357
406	0,000686903
408	0,000672919
410	0,000659387
412	0,000646287
414	0,000633601
416	0,000621312
418	0,000609404
420	0,000597863
422	0,000586672
424	0,000575819
426	0,000565291
428	0,000555073
430	0,000545156
432	0,000535526
434	0,000526174
436	0,000517088
438	0,000508259
440	0,000499678
442	0,000491335
444	0,000483221
446	0,000475329
448	0,000467651
450	0,000460178
452	0,000452904
454	0,000445822
456	0,000438925
458	0,000432207
460	0,000425661
462	0,000419282
464	0,000413064
466	0,000407002
468	0,000401091
470	0,000395326
472	0,000389701
474	0,000384213
476	0,000378857
478	0,000373629
480	0,000368525
482	0,000363541
484	0,000358673
486	0,000353918
488	0,000349272
490	0,000344731
492	0,000340294
494	0,000335956
496	0,000331714
498	0,000327567
500	0,00032351
502	0,000319542
504	0,000315659
506	0,00031186
508	0,000308141
510	0,000304501
512	0,000300938
514	0,000297449
516	0,000294032
518	0,000290685
520	0,000287407
522	0,000284195
524	0,000281047
526	0,000277962
528	0,000274939
530	0,000271975
532	0,000269069
534	0,00026622
536	0,000263425
538	0,000260684
540	0,000257996
542	0,000255358
544	0,000252769
546	0,000250229
548	0,000247736
550	0,000245289
552	0,000242887
554	0,000240529
556	0,000238213
558	0,000235938
560	0,000233704
562	0,00023151
564	0,000229354
566	0,000227236
568	0,000225155
570	0,00022311
572	0,0002211
574	0,000219124
576	0,000217182
578	0,000215272
580	0,000213394
582	0,000211548
584	0,000209732
586	0,000207946
588	0,00020619
590	0,000204461
592	0,000202761
594	0,000201088
596	0,000199442
598	0,000197822
600	0,000196227
602	0,000194658
604	0,000193113
606	0,000191591
608	0,000190094
610	0,000188619
612	0,000187167
614	0,000185737
616	0,000184328
618	0,00018294
620	0,000181574
622	0,000180227
624	0,0001789
626	0,000177593
628	0,000176305
630	0,000175035
632	0,000173784
634	0,000172551
636	0,000171335
638	0,000170136
640	0,000168955
642	0,00016779
644	0,000166641
646	0,000165508
648	0,000164391
650	0,00016329
652	0,000162203
654	0,000161131
656	0,000160074
658	0,00015903
660	0,000158001
662	0,000156986
664	0,000155984
666	0,000154995
668	0,000154019
670	0,000152733
672	0,000151667
674	0,000150601
676	0,000149535
678	0,000148469
680	0,000147402
682	0,000146336
684	0,00014527
686	0,000144204
688	0,000143138
690	0,000142072
692	0,000141006
694	0,000139939
696	0,000138873
698	0,000137807
700	0,000136741
702	0,000135675
704	0,000134609
706	0,000133543
708	0,000132476
710	0,00013141
712	0,000130344
714	0,000129278
716	0,000128212
718	0,000127146
720	0,00012608
722	0,000125013
724	0,000123947
726	0,000122881
728	0,000121815
730	0,000120749
732	0,000119683
734	0,000118617
736	0,00011755
738	0,000116484
740	0,000115418
742	0,000114352
744	0,000113286
746	0,00011222
748	0,000111154
750	0,000110088
752	0,000109021
754	0,000107955
756	0,000106889
758	0,000105823
760	0,000104757
762	0,000103691
764	0,000102625
766	0,000101558
768	0,000100492
770	9,94E-05
772	9,84E-05
774	9,73E-05
776	9,62E-05
778	9,52E-05
780	9,41E-05
782	9,30E-05
784	9,20E-05
786	9,09E-05
788	8,98E-05
790	8,88E-05
792	8,77E-05
794	8,66E-05
796	8,56E-05
798	8,45E-05
800	0,000083434
